# Experimental Run Tue Nov 13 20:44:02 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"40655.0","125","15948"
"38463.0","234","30247"
"36977.0","453","61194"
"39026.0","250","34036"
"38027.0","375","49867"
"37981.0","344","46006"
"36944.0","406","54697"
"38306.0","297","39174"
"36072.0","594","77381"
"37570.0","484","65154"
"36526.0","453","59521"
"37667.0","297","38612"
"39315.0","187","25607"
"38739.0","250","32281"
"37341.0","438","58773"
"37481.0","625","83010"
"36839.0","312","43222"
"37781.0","375","49925"
"38585.0","313","40962"
"36015.0","750","100631"
"36261.0","609","80435"
"37349.0","563","73299"
"39676.0","203","27917"
"38485.0","250","34024"
"37049.0","562","75250"
"38813.0","250","32322"
"37652.0","453","59521"
"37065.0","422","56470"
"38516.0","203","27664"
"37708.0","282","37084"
"36235.0","500","66177"
"36973.0","265","36573"
"38271.0","281","37277"
"37153.0","500","65657"
"36673.0","469","62326"
"39386.0","156","21301"
"37238.0","282","36318"
"38252.0","250","34345"
"36548.0","593","79921"
"38739.0","282","35551"
"37867.0","375","49839"
"38383.0","203","26630"
"38473.0","328","44225"
"37216.0","422","54935"
"37864.0","359","48078"
"39063.0","141","18471"
"36955.0","546","71762"
"39042.0","282","36575"
"37865.0","328","43967"
"37702.0","390","52904"
"38074.0","360","46708"
"38566.0","281","36319"
"37511.0","453","60956"
"37129.0","500","65645"
"38781.0","172","24077"
"38169.0","312","40722"
"37518.0","422","55704"
"37596.0","453","61108"
"37630.0","454","61584"
"37408.0","421","54423"
"37582.0","266","35810"
"38231.0","234","32248"
"37815.0","422","54687"
"39428.0","219","29486"
"37343.0","422","54508"
"36521.0","344","45501"
"38901.0","265","35579"
"36983.0","281","36827"
"39014.0","250","30197"
"37788.0","297","38866"
"36282.0","657","87572"
"38460.0","234","29432"
"39099.0","187","26895"
"37448.0","391","49323"
"38434.0","375","51366"
"38765.0","250","33537"
"37383.0","625","81055"
"37460.0","266","36835"
"36060.0","562","73548"
"38722.0","328","43984"
"37912.0","375","50365"
"37860.0","516","68338"
"37868.0","328","42953"
"37567.0","437","58859"
"38775.0","282","37092"
"37827.0","375","48494"
"38233.0","250","32747"
"38714.0","312","40762"
"39186.0","219","28925"
"37280.0","406","53192"
"37385.0","344","45770"
"39001.0","234","30456"
"39255.0","172","23092"
"37938.0","297","39123"
"36089.0","484","65163"
"36919.0","641","85317"
"37400.0","203","26376"
"39599.0","141","20252"
"37727.0","390","51972"
"38906.0","250","31729"
"39594.0","219","28205"
"37981.0","312","42184"
"37476.0","516","68456"
"37396.0","438","58837"
"37861.0","406","53926"
"37461.0","281","37088"
"37225.0","297","38621"
"37940.0","328","43533"
"38267.0","281","37659"
"39041.0","203","25865"
"36646.0","547","73559"
"37919.0","297","38110"
"37780.0","328","44221"
"38393.0","360","48310"
"37048.0","531","69672"
"38768.0","250","33375"
"36990.0","515","67688"
"37446.0","313","42213"
"37671.0","453","60292"
"37986.0","297","39125"
"37628.0","437","56462"
"36266.0","438","59026"
"36504.0","579","78904"
"37273.0","453","59784"
"36383.0","515","69247"
"37902.0","297","40150"
"38081.0","297","38867"
"38178.0","266","36653"
"37125.0","359","47537"
"39987.0","187","24590"
"37141.0","360","47283"
"38289.0","406","54963"
"38274.0","297","37850"
"38663.0","281","37599"
"38469.0","250","33282"
"36175.0","484","63348"
"38045.0","329","43737"
"37284.0","359","48064"
"38568.0","250","33018"
"37364.0","422","56357"
"37973.0","312","41933"
"39668.0","203","25974"
"36800.0","563","75080"
"35843.0","578","78139"
"37544.0","391","53716"
"38226.0","312","40156"
"37940.0","203","27412"
"36365.0","547","74324"
"39179.0","266","34683"
"38468.0","234","30455"
"38783.0","250","34276"
"37753.0","391","52201"
"37405.0","390","50410"
"36235.0","407","53674"
"38404.0","265","34870"
"39258.0","172","23574"
"36716.0","578","76620"
"37491.0","344","46337"
"38369.0","265","35296"
"37443.0","500","67172"
"38377.0","235","29434"
"39117.0","203","26373"
"38033.0","312","41933"
"37451.0","469","62333"
"37003.0","453","60800"
"39385.0","203","26120"
"37472.0","328","43460"
"36800.0","391","52899"
"39043.0","219","27163"
"38228.0","281","38372"
"37182.0","531","70237"
"37343.0","282","36340"
"38810.0","250","33772"
"38051.0","375","49835"
"37769.0","265","35318"
"38483.0","313","41419"
"36004.0","422","55700"
"38890.0","296","39168"
"38631.0","282","36062"
"37277.0","375","50343"
"37012.0","406","54692"
"36887.0","344","44733"
"39369.0","140","19107"
"35936.0","563","76383"
"36644.0","422","55208"
"37687.0","375","50597"
"37048.0","562","75098"
"37962.0","312","42538"
"38065.0","297","37849"
"37612.0","453","60040"
"38577.0","375","49324"
"37957.0","297","39887"
"36181.0","563","75374"
"38504.0","328","43456"
"36942.0","437","57993"
"38842.0","219","30788"
"37683.0","500","66870"
"39370.0","219","27674"
"37492.0","281","37340"
"37255.0","406","54677"
"39171.0","219","29178"
"38688.0","313","40416"
"38262.0","328","44007"
"38380.0","250","33814"
"37426.0","390","51369"
"37377.0","422","55256"
"38275.0","266","34533"
"38489.0","344","46517"
"37663.0","406","53410"
"38651.0","250","34021"
"37785.0","265","35823"
"36843.0","360","47791"
"36975.0","578","76623"
"37183.0","359","48559"
"39256.0","203","27907"
"37891.0","250","32250"
"36983.0","297","40146"
"37619.0","297","39644"
"37459.0","313","40907"
"38254.0","312","42250"
"37344.0","547","72231"
"36698.0","469","62594"
"38070.0","281","36834"
"38243.0","281","38105"
"37730.0","391","51108"
