# Experimental Run Tue Nov 13 23:20:02 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"1.4239805E7","7593","45112"
"1.4335659E7","3016","17967"
"1.4233089E7","5625","33945"
"1.4238636E7","6749","40656"
"1.4252952E7","3484","20762"
"1.4271667E7","4969","30017"
"1.4151755E7","7515","45241"
"1.4129027E7","4938","29452"
"1.4290247E7","3266","19750"
"1.422384E7","10234","62215"
"1.4190266E7","5672","34039"
"1.4299837E7","3172","18971"
"1.4173802E7","7046","42462"
"1.4257215E7","5390","32285"
"1.4242013E7","3406","20255"
"1.423133E7","4328","25865"
"1.4213175E7","5250","31496"
"1.4185173E7","5297","31472"
"1.4217722E7","5593","33008"
"1.424408E7","4750","28160"
"1.4189392E7","3453","20510"
"1.4264431E7","6468","38888"
"1.4272163E7","4093","24858"
"1.4232013E7","6969","41675"
"1.431362E7","3234","19044"
"1.4262167E7","3812","22808"
"1.4261916E7","5031","30209"
"1.4238724E7","5734","34144"
"1.4341669E7","3047","18218"
"1.4167231E7","9734","58783"
"1.4164567E7","8562","51107"
"1.4186408E7","9172","54719"
"1.4157056E7","7703","46266"
"1.4207535E7","5672","33811"
"1.4261908E7","4828","28840"
"1.4225386E7","5593","33512"
"1.419793E7","6765","39888"
"1.4261957E7","4672","27702"
"1.428581E7","3563","21273"
"1.4308302E7","4500","26403"
"1.4219835E7","5046","30196"
"1.4122859E7","9450","56510"
"1.4219855E7","7562","44748"
"1.4240074E7","3722","22059"
"1.429772E7","4141","24846"
"1.4145596E7","7562","44732"
"1.4295123E7","6172","36605"
"1.4183732E7","4719","28156"
"1.4263304E7","4250","24855"
"1.4221216E7","5078","30581"
"1.4158143E7","6188","37168"
"1.4241649E7","3813","22668"
"1.4243841E7","6328","38052"
"1.426047E7","5703","34080"
"1.426833E7","4359","25861"
"1.4166575E7","5719","34543"
"1.4159856E7","6672","40143"
"1.4239961E7","4266","25126"
"1.430317E7","3422","20280"
"1.4206472E7","6047","36231"
"1.4212414E7","5891","34052"
"1.4345384E7","3407","20252"
"1.4208299E7","7015","42190"
"1.4253683E7","4797","28159"
"1.4271391E7","3187","18766"
"1.4239413E7","6969","41927"
"1.4281305E7","4203","24842"
"1.4142273E7","5688","33810"
"1.4256848E7","5156","30451"
"1.4187787E7","5359","31231"
"1.4254829E7","4312","25620"
"1.4285528E7","5031","29970"
"1.4235918E7","5297","31216"
"1.4296893E7","3141","18502"
"1.4189094E7","5828","34789"
"1.419332E7","5969","35054"
"1.4205905E7","4438","26400"
"1.4276321E7","5750","34047"
"1.418245E7","6188","36086"
"1.4191947E7","7734","46078"
"1.4176948E7","8875","52514"
"1.4206871E7","5187","30709"
"1.4222174E7","4046","23826"
"1.4278428E7","4437","26377"
"1.4271748E7","3890","22555"
"1.4252054E7","4047","24078"
"1.4243603E7","3156","18651"
"1.4204429E7","8218","48556"
"1.4280994E7","3765","22292"
"1.4222089E7","6249","37338"
"1.4213522E7","6484","37851"
"1.4156752E7","8312","49322"
"1.4151875E7","5781","34030"
"1.4239231E7","5063","29719"
"1.4424894E7","2188","12859"
"1.4160051E7","8265","49336"
"1.4218856E7","5391","31726"
"1.4205854E7","4500","26628"
"1.4225405E7","7297","43859"
"1.4218256E7","5469","31753"
"1.4251412E7","4078","23861"
"1.4199567E7","6156","36919"
"1.4329246E7","2500","14898"
"1.4263284E7","4343","25607"
"1.4231213E7","8719","52292"
"1.4273769E7","3781","22547"
"1.4293901E7","4437","26123"
"1.4240011E7","6032","36117"
"1.4210849E7","5453","32502"
"1.4193712E7","7281","43466"
"1.417318E7","8906","52151"
"1.4186284E7","8249","48830"
"1.4197242E7","5249","31487"
"1.4186036E7","6766","40452"
"1.4229351E7","5656","33010"
"1.4265173E7","4656","27646"
"1.427734E7","4531","26937"
"1.4218459E7","6641","38879"
"1.4231248E7","3500","20767"
"1.4228812E7","5953","35578"
"1.4304184E7","4000","23868"
"1.4256262E7","4750","28068"
"1.4193727E7","7469","44479"
"1.4279995E7","2828","16688"
"1.433434E7","2734","16314"
"1.4211375E7","5860","34297"
"1.4197185E7","8968","53682"
"1.4237181E7","6625","39394"
"1.4251743E7","5016","29949"
"1.4255653E7","3484","20283"
"1.4220944E7","4203","25104"
"1.4229333E7","7109","42185"
"1.4245085E7","6312","37364"
"1.4218643E7","7140","42301"
"1.4208943E7","5266","31221"
"1.4288584E7","3078","17961"
"1.4282734E7","3234","19330"
"1.419312E7","6094","35296"
"1.4310814E7","3593","21328"
"1.4204319E7","5063","29951"
"1.4172666E7","8766","52168"
"1.4184651E7","9499","55955"
"1.4275217E7","5125","30464"
"1.4255184E7","5781","34534"
"1.4183482E7","9718","57603"
"1.4217838E7","6844","40400"
"1.431417E7","2781","16431"
"1.4204674E7","9312","56237"
"1.4226757E7","5624","33473"
"1.4196375E7","5156","30454"
"1.4168023E7","10030","60050"
"1.4310224E7","3031","18044"
"1.42785E7","2937","17703"
"1.43352E7","3156","18482"
"1.422165E7","4812","28666"
"1.4190585E7","6219","37346"
"1.4192897E7","9672","57571"
"1.4180967E7","5172","30708"
"1.4134735E7","7562","45242"
"1.426678E7","3547","21275"
"1.421799E7","6484","38881"
"1.4310137E7","2734","15664"
"1.4253046E7","5328","31939"
"1.4209198E7","6188","36863"
"1.4274407E7","3032","17976"
"1.429009E7","4078","24082"
"1.4270346E7","3531","21107"
"1.4224558E7","4187","25097"
"1.422882E7","5390","32493"
"1.4382267E7","1953","11333"
"1.4217422E7","9781","59029"
"1.4178884E7","7531","45242"
