# Experimental Run Tue Nov 13 23:38:43 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"31541.0","562","41708"
"31053.0","828","62850"
"30756.0","532","39632"
"32167.0","312","23822"
"30784.0","656","48356"
"31713.0","453","34304"
"30946.0","469","35589"
"31464.0","484","36829"
"31242.0","579","43498"
"30273.0","1046","78391"
"30690.0","735","55952"
"31393.0","515","39077"
"31807.0","360","25872"
"32019.0","297","22552"
"31841.0","500","38145"
"31836.0","390","28666"
"31465.0","594","45110"
"31289.0","547","41423"
"31539.0","422","31892"
"31151.0","453","34279"
"30823.0","578","43734"
"31427.0","547","40674"
"30884.0","734","55712"
"31582.0","547","40407"
"32081.0","312","23567"
"31317.0","469","35101"
"31242.0","641","48830"
"31784.0","360","26639"
"32394.0","250","19768"
"31214.0","593","44991"
"30081.0","485","36828"
"30934.0","532","40159"
"31627.0","468","35301"
"31813.0","391","28932"
"31150.0","437","32242"
"31321.0","625","47282"
"31222.0","579","43456"
"31548.0","593","44107"
"31783.0","375","29037"
"31118.0","719","54598"
"31519.0","656","49581"
"30525.0","719","54430"
"31508.0","421","31480"
"30515.0","829","62593"
"31813.0","515","38621"
"32167.0","391","28695"
"30597.0","812","61309"
"31219.0","406","31225"
"31442.0","469","34422"
"31507.0","563","42438"
"30611.0","640","48311"
"31247.0","532","40773"
"30756.0","641","49069"
"30963.0","812","61312"
"31827.0","391","28922"
"31182.0","531","40680"
"31319.0","563","41928"
"31320.0","468","35105"
"31016.0","516","39122"
"31234.0","890","66926"
"31065.0","469","35061"
"31080.0","625","47282"
"31733.0","422","30964"
"31144.0","547","41207"
"31770.0","297","22546"
"31664.0","422","31471"
"31217.0","578","42438"
"30162.0","875","66671"
"31342.0","515","39314"
"30903.0","500","36829"
"29905.0","1141","85534"
"31691.0","422","31518"
"31338.0","625","46872"
"31953.0","422","31580"
"30630.0","625","46775"
"30501.0","1171","88338"
"31599.0","422","31539"
"30136.0","641","49073"
"31180.0","625","46516"
"31518.0","453","34037"
"31563.0","422","31272"
"32741.0","297","23067"
"31866.0","531","39635"
"31539.0","406","30203"
"31613.0","406","30457"
"31520.0","375","27739"
"31206.0","641","48301"
"31428.0","609","42695"
"31745.0","391","26122"
"31705.0","422","32249"
"31395.0","515","38617"
"31326.0","547","41675"
"32617.0","266","19231"
"31014.0","765","58649"
"31247.0","516","38130"
"32042.0","359","27665"
"30523.0","1032","76869"
"30609.0","562","43205"
"31099.0","688","52128"
"31066.0","609","45501"
"30911.0","672","51982"
"31544.0","375","28666"
"30925.0","750","57228"
"31215.0","422","32237"
"30940.0","641","49070"
"31206.0","500","37421"
"31836.0","469","35302"
"30666.0","343","26628"
"30814.0","656","50863"
"29818.0","906","67683"
"31369.0","469","34814"
"31152.0","688","51621"
"29958.0","921","69489"
"31167.0","485","36317"
"32123.0","265","20520"
"30942.0","422","32240"
"31352.0","516","37846"
"31720.0","375","29208"
"31361.0","484","36063"
"30839.0","625","47548"
"30926.0","516","38120"
"31027.0","734","55188"
"30441.0","703","52904"
"31211.0","578","43786"
"31431.0","547","40919"
"31045.0","625","46516"
"31896.0","344","25875"
"31455.0","547","41109"
"31664.0","469","36081"
"31564.0","406","30713"
"30392.0","562","41931"
"31540.0","344","25371"
"30261.0","922","64367"
"30972.0","531","39635"
"31435.0","578","43716"
"30785.0","1016","76426"
"30447.0","984","74082"
"31261.0","328","24339"
"30754.0","1125","85033"
"30919.0","625","46298"
"30126.0","610","46555"
"31862.0","406","29734"
"30964.0","578","44506"
"30753.0","859","64270"
"32691.0","266","20552"
"32556.0","297","21570"
"31424.0","484","36078"
"31170.0","578","42956"
"31220.0","406","30578"
"32064.0","500","37337"
"30997.0","500","37857"
"31545.0","438","33049"
"31798.0","406","30228"
"31526.0","375","27912"
"30529.0","484","35807"
"30638.0","875","64471"
"30159.0","891","68230"
"31513.0","562","42477"
"32074.0","204","14898"
"31588.0","437","33330"
"31469.0","750","55829"
"31033.0","625","46045"
"31208.0","484","36826"
"30369.0","875","66420"
"32697.0","219","16771"
"32026.0","406","31737"
"31138.0","641","47793"
"31489.0","640","48560"
"32202.0","297","22623"
"31081.0","515","39121"
"31315.0","594","44243"
"30945.0","625","47654"
"29727.0","906","68195"
"31499.0","563","41428"
"30465.0","531","41163"
"30641.0","719","53147"
"30878.0","828","62075"
"31684.0","609","45755"
"31243.0","672","50605"
"31191.0","547","42203"
"30595.0","797","59526"
"31562.0","468","35105"
"30727.0","594","44228"
"30309.0","1094","82486"
"31036.0","531","39125"
"31313.0","422","31732"
"30791.0","719","54342"
"31173.0","453","33766"
"31620.0","500","37360"
"31438.0","609","45765"
"31747.0","469","35560"
"31842.0","406","29749"
"31310.0","516","38924"
"29930.0","906","68702"
"31873.0","406","31772"
"31178.0","625","48062"
"32764.0","312","22651"
"31241.0","672","51375"
"31109.0","641","46790"
"32342.0","281","21530"
"30477.0","687","51445"
"32033.0","313","24337"
"31789.0","437","31999"
"30820.0","594","45246"
"30429.0","516","39126"
"31201.0","484","36606"
"32485.0","359","26628"
"31988.0","344","25618"
"31661.0","484","35297"
"31134.0","735","55005"
"29797.0","703","52893"
"30467.0","469","34587"
"30491.0","890","67535"
"30790.0","766","57523"
"31974.0","375","28037"
"32262.0","312","24393"
"31617.0","375","27139"
"30903.0","641","49105"
"31090.0","672","50099"
"30822.0","765","57519"
"29692.0","1016","75873"
"31143.0","469","35349"
"32962.0","218","16446"
"32034.0","344","25870"
