# Experimental Run Tue Nov 13 23:24:36 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"303490.0","219","58502"
"308874.0","187","52896"
"281368.0","329","88853"
"324751.0","125","35551"
"302992.0","234","60576"
"306296.0","219","57807"
"313231.0","156","45507"
"286722.0","422","112613"
"318047.0","187","50176"
"269627.0","578","159630"
"294381.0","360","97006"
"296364.0","312","81197"
"334207.0","110","28690"
"321096.0","109","31766"
"282340.0","328","88870"
"300736.0","328","89000"
"312190.0","266","72273"
"326829.0","156","34045"
"287101.0","359","86379"
"292703.0","235","66943"
"301380.0","312","83081"
"291911.0","344","90426"
"312160.0","281","76270"
"271000.0","313","87576"
"308933.0","234","62161"
"326146.0","156","45243"
"287231.0","235","63858"
"279051.0","406","109878"
"290791.0","297","81213"
"279360.0","390","103385"
"316937.0","204","57737"
"272764.0","546","148159"
"281500.0","344","91399"
"293902.0","266","72785"
"278188.0","359","98801"
"270001.0","469","124805"
"286723.0","297","83502"
"312812.0","203","53929"
"301585.0","203","56463"
"300921.0","234","64115"
"272503.0","485","129656"
"284044.0","328","86811"
"308857.0","172","46519"
"296288.0","218","62600"
"327555.0","172","44008"
"307793.0","235","65901"
"323415.0","156","42732"
"311813.0","172","50858"
"295563.0","313","81731"
"335656.0","140","37377"
"327213.0","172","50658"
"283443.0","297","80180"
"297471.0","219","59784"
"305905.0","266","70777"
"295765.0","281","76619"
"278454.0","406","111075"
"300092.0","203","55137"
"306252.0","250","68452"
"281553.0","359","100832"
"301512.0","203","54779"
"315099.0","219","61071"
"293860.0","328","84856"
"320552.0","188","54429"
"310860.0","265","71251"
"277410.0","281","75846"
"288888.0","313","85280"
"302778.0","266","69037"
"277838.0","281","77377"
"267781.0","469","125898"
"319685.0","156","45502"
"308368.0","219","59529"
"303994.0","187","46775"
"296946.0","297","81210"
"299770.0","344","92627"
"297457.0","296","81485"
"311090.0","250","65390"
"284442.0","250","69000"
"300936.0","250","65686"
"288560.0","235","63397"
"297381.0","281","77881"
"322034.0","141","37850"
"284593.0","312","81499"
"317222.0","250","65407"
"310375.0","172","45811"
"292578.0","281","77044"
"289502.0","313","84028"
"293867.0","281","75076"
"323683.0","219","60796"
"282361.0","390","107985"
"275391.0","563","154388"
"329277.0","172","43213"
"307718.0","265","72077"
"300446.0","282","77395"
"313724.0","156","42960"
"321315.0","219","56974"
"334365.0","125","34817"
"293067.0","281","77629"
"297133.0","250","67279"
"282880.0","344","91699"
"278559.0","406","112620"
"301916.0","265","72787"
"285439.0","282","74850"
"315685.0","187","48569"
"287806.0","375","103385"
"316958.0","172","46298"
"286553.0","375","101088"
"309101.0","219","60806"
"317120.0","250","65217"
"280115.0","343","85355"
"299083.0","438","51873"
"310198.0","328","63992"
"295227.0","453","84520"
"307416.0","281","50623"
"293591.0","266","73293"
"304813.0","266","71309"
"327217.0","140","38143"
"293214.0","281","75869"
"314477.0","235","62581"
"265366.0","453","124303"
"275202.0","422","114866"
"295167.0","297","77884"
"318973.0","187","53170"
"317267.0","250","66250"
"296685.0","281","79678"
"322408.0","203","53436"
"294712.0","360","98063"
"303211.0","187","47536"
"288957.0","344","95011"
"295194.0","281","74823"
"300845.0","282","74579"
"297680.0","265","71508"
"267947.0","453","124038"
"295164.0","344","96763"
"341201.0","125","31549"
"269269.0","578","161522"
"293148.0","328","90632"
"296903.0","391","93246"
"330706.0","156","39898"
"278329.0","391","103902"
"329436.0","140","39634"
"287839.0","360","97006"
"308870.0","234","64681"
"282408.0","281","77672"
"286578.0","438","116246"
"310159.0","203","54800"
"291651.0","281","74889"
"309958.0","172","43711"
"291502.0","359","99469"
"270244.0","391","106186"
"291027.0","391","106066"
"292562.0","328","88871"
"300941.0","203","54934"
"309429.0","250","71778"
"305765.0","281","72568"
"315496.0","219","63866"
"309846.0","234","60546"
"310366.0","172","48320"
"300186.0","219","60408"
"295366.0","281","73582"
"302996.0","297","79459"
"273543.0","312","86808"
"320177.0","157","40400"
"287051.0","484","134284"
"316657.0","203","56019"
"296464.0","281","72856"
"313622.0","266","73804"
"309634.0","234","64645"
"310131.0","219","57226"
"316448.0","156","40219"
"289693.0","422","114348"
"288552.0","360","97775"
"310004.0","203","58771"
"308812.0","172","46012"
"309668.0","218","55977"
"299275.0","141","39125"
"311083.0","266","73051"
"269182.0","484","133986"
"279698.0","562","151326"
"338259.0","110","31491"
"312986.0","218","60848"
"288567.0","297","77381"
"322717.0","172","48058"
"278022.0","531","145712"
"296263.0","313","84846"
"291040.0","359","99601"
"287271.0","250","66928"
"318669.0","219","57226"
"338867.0","109","30715"
"297248.0","360","95995"
"330401.0","156","43206"
"285367.0","281","73550"
"286779.0","297","84515"
"311252.0","234","62840"
"311209.0","250","65414"
"287482.0","469","128148"
