# Experimental Run Tue Nov 13 20:27:12 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"26185.0","906","52947"
"27255.0","390","24372"
"26868.0","547","34788"
"26300.0","922","57744"
"26681.0","594","37104"
"26687.0","406","25352"
"26630.0","438","27901"
"27056.0","406","24862"
"26191.0","609","38137"
"26149.0","407","25607"
"26797.0","359","22553"
"26519.0","453","28198"
"26324.0","813","51187"
"27007.0","390","23829"
"26489.0","688","43458"
"26272.0","406","25366"
"26445.0","672","42776"
"27070.0","390","24080"
"25716.0","938","58789"
"27165.0","344","21781"
"26615.0","359","22042"
"26436.0","656","40412"
"25915.0","938","59020"
"26499.0","562","35043"
"26535.0","485","27910"
"26626.0","531","34031"
"26664.0","375","23057"
"26315.0","734","46270"
"26255.0","1000","62375"
"26159.0","672","41416"
"26263.0","859","53436"
"26463.0","735","46665"
"27289.0","328","20512"
"25958.0","750","46470"
"26578.0","468","29183"
"26847.0","438","26900"
"25984.0","703","44479"
"27086.0","390","24841"
"27074.0","406","25096"
"26180.0","797","49664"
"26340.0","641","40220"
"25995.0","797","49068"
"26327.0","719","45751"
"26695.0","499","32529"
"26055.0","829","51111"
"26551.0","484","31216"
"26630.0","516","32282"
"26732.0","609","38220"
"26605.0","437","26629"
"26300.0","579","36368"
"26796.0","406","24848"
"26922.0","640","39009"
"26096.0","688","42442"
"27349.0","390","24334"
"25691.0","750","47374"
"25733.0","1047","65145"
"25944.0","1078","67936"
"25944.0","578","32595"
"26651.0","563","36317"
"26596.0","625","39159"
"25581.0","640","39898"
"25948.0","1000","61594"
"26680.0","391","25129"
"25836.0","797","50344"
"26375.0","641","39895"
"26747.0","515","32236"
"26927.0","422","26428"
"26683.0","484","30197"
"26364.0","1078","68514"
"26208.0","485","30201"
"26951.0","437","26699"
"26961.0","328","20507"
"26419.0","657","41220"
"26832.0","484","30485"
"26116.0","641","40436"
"26365.0","921","58016"
"26337.0","485","30454"
"26373.0","547","34411"
"26379.0","906","57419"
"27078.0","390","24844"
"26252.0","1110","70005"
"27117.0","562","31736"
"26262.0","797","50679"
"26057.0","688","43204"
"26290.0","656","41672"
"26069.0","828","52130"
"26941.0","359","21787"
"26233.0","688","44230"
"26648.0","531","32492"
"26011.0","781","50227"
"26695.0","531","33544"
"26468.0","594","37154"
"26914.0","422","26116"
"26055.0","1203","76304"
"26310.0","531","32771"
"26992.0","375","24079"
"26758.0","422","26118"
"26051.0","1063","67173"
"26896.0","437","27393"
"26721.0","578","36324"
"26634.0","594","37887"
"26876.0","328","20766"
"26365.0","516","32498"
"26309.0","453","28185"
"25722.0","1047","66450"
"26457.0","640","40400"
"26604.0","485","30963"
"26220.0","750","47059"
"25929.0","750","46773"
"25964.0","906","57619"
"26415.0","578","36863"
"26501.0","500","31217"
"25560.0","1140","72018"
"26246.0","984","61157"
"26569.0","500","32494"
"25908.0","907","57743"
"26470.0","718","45607"
"26746.0","812","51518"
"26883.0","375","23590"
"26802.0","329","20768"
"26181.0","765","48615"
"26143.0","500","31485"
"25811.0","719","46266"
"26133.0","844","53431"
"26022.0","625","39456"
"27164.0","297","18724"
"26529.0","391","24844"
"26495.0","562","35076"
"26561.0","766","48838"
"26243.0","672","43201"
"26145.0","906","57483"
"27148.0","312","18977"
"26306.0","547","34551"
"26241.0","610","38762"
"25899.0","1140","72055"
"26039.0","1031","65940"
"26008.0","797","50123"
"25866.0","906","58011"
"26543.0","657","41423"
"26218.0","625","39220"
"26133.0","718","44884"
"26181.0","672","42695"
"26758.0","328","20509"
"26864.0","485","29954"
"26816.0","640","40292"
"26824.0","578","35851"
"25684.0","1125","71000"
"26250.0","813","51188"
"26339.0","500","31219"
"26961.0","453","28411"
"26305.0","875","55696"
"26303.0","578","36870"
"26354.0","687","42982"
"26252.0","954","61597"
"27038.0","421","26806"
"26010.0","1016","64368"
"26843.0","500","31495"
"25745.0","875","56368"
"26852.0","500","31988"
"26671.0","594","37596"
"26573.0","547","34532"
"26476.0","547","34812"
"25693.0","796","50087"
"26556.0","797","51216"
"26857.0","422","26409"
"26509.0","485","30199"
"25815.0","796","50090"
"26236.0","953","59523"
"26324.0","579","36320"
"26283.0","578","36625"
"26675.0","437","27395"
"26734.0","500","31990"
"26518.0","500","31249"
"25542.0","750","47557"
"26783.0","453","27948"
"26661.0","422","26372"
"25727.0","828","51875"
"26453.0","828","51363"
"26586.0","610","39916"
"26525.0","485","31475"
"26583.0","484","30277"
"26362.0","547","35060"
"26355.0","609","38356"
"25965.0","906","57753"
"26839.0","500","31733"
"26475.0","531","33536"
"26689.0","563","34696"
"25926.0","656","41178"
"26694.0","437","27265"
"26589.0","329","20255"
"26878.0","375","22962"
"26110.0","765","48775"
"26429.0","609","38388"
"26819.0","579","36141"
"26138.0","562","35189"
"26256.0","516","32265"
"26698.0","312","20540"
"26563.0","828","51629"
"26526.0","375","24077"
"26093.0","906","57238"
"26404.0","484","30962"
"26074.0","750","48414"
"25595.0","953","60544"
"25878.0","1031","64621"
"26542.0","469","29689"
"26385.0","531","33260"
"26464.0","469","30214"
"26507.0","718","44259"
"25879.0","657","41671"
"26408.0","390","24332"
"26338.0","578","36341"
"26334.0","860","53911"
"26462.0","687","43973"
"26483.0","547","35611"
"26626.0","593","36605"
"25976.0","860","54944"
"27014.0","422","26626"
"26680.0","562","35045"
"25833.0","703","44739"
"26606.0","625","39518"
"26470.0","484","29990"
"26327.0","579","35814"
"26954.0","343","21543"
"26598.0","563","35811"
"26375.0","656","40657"
"26048.0","1172","73870"
"26833.0","500","32260"
"26535.0","484","29951"
"26828.0","547","34037"
"26851.0","469","30473"
"27211.0","359","22315"
"26651.0","656","40183"
"25012.0","1063","67182"
"26528.0","437","27401"
"26134.0","438","28450"
"26366.0","640","40658"
"27363.0","329","20053"
"26110.0","531","33518"
"25969.0","953","59784"
"27162.0","281","16741"
"26366.0","843","53152"
"26609.0","391","24846"
"26702.0","422","26882"
"26126.0","641","40492"
"26736.0","562","34533"
"25963.0","750","46835"
"26012.0","844","53401"
"25938.0","656","41930"
"26529.0","547","34535"
"26459.0","672","41722"
"26596.0","546","34585"
"26497.0","829","52140"
