# Experimental Run Tue Nov 13 20:48:50 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"2046.0","360","69610"
"2033.0","437","84349"
"2106.0","422","81707"
"2097.0","297","56210"
"2121.0","312","58763"
"2065.0","406","78904"
"2209.0","204","40907"
"2076.0","296","56720"
"2229.0","188","35660"
"2106.0","312","60552"
"2120.0","266","53410"
"2153.0","281","52387"
"2031.0","297","58759"
"2203.0","172","33013"
"2179.0","203","40404"
"2203.0","172","34582"
"2168.0","203","37099"
"2119.0","250","48579"
"2141.0","218","43240"
"2146.0","266","48560"
"2062.0","375","74822"
"2063.0","469","90635"
"2145.0","219","40723"
"2141.0","296","55539"
"2131.0","266","52126"
"2121.0","328","62329"
"2109.0","313","62073"
"2053.0","421","82481"
"2002.0","610","115372"
"2308.0","172","35041"
"2136.0","250","46773"
"2154.0","234","44991"
"2132.0","219","41166"
"2129.0","219","41417"
"2032.0","359","72017"
"2100.0","375","69981"
"2036.0","391","75078"
"2167.0","203","40651"
"2114.0","296","58542"
"2018.0","406","78655"
"2171.0","219","43201"
"2048.0","250","48566"
"2019.0","531","101360"
"2207.0","235","44527"
"2125.0","312","60286"
"2129.0","297","59278"
"2012.0","500","95482"
"1986.0","641","123898"
"2151.0","218","43211"
"2215.0","235","45503"
"2201.0","250","46039"
"2086.0","312","59862"
"2153.0","250","50873"
"2105.0","344","64906"
"2263.0","172","32748"
"2213.0","234","46297"
"2043.0","422","82259"
"1998.0","313","58259"
"2084.0","296","58259"
"2091.0","266","50343"
"2162.0","266","49321"
"2064.0","343","68742"
"2076.0","375","71762"
"2153.0","234","45528"
"1954.0","438","85532"
"2075.0","328","64118"
"2187.0","172","33770"
"2105.0","312","58574"
"2150.0","250","48049"
"2223.0","172","33023"
"2066.0","516","98538"
"2146.0","125","25352"
"2100.0","281","52504"
"2067.0","359","68191"
"2169.0","219","40911"
"2133.0","250","49070"
"2274.0","125","25056"
"2064.0","297","54686"
"2061.0","531","102618"
"2128.0","281","54323"
"2235.0","172","32508"
"2177.0","219","40651"
"2275.0","172","34599"
"2206.0","234","45246"
"2191.0","172","33066"
"2236.0","172","32239"
"2155.0","313","62093"
"2126.0","218","42189"
"2173.0","219","40675"
"2193.0","187","36079"
"2091.0","422","80951"
"2121.0","188","34280"
"2164.0","219","41944"
"2236.0","171","36061"
"2065.0","297","57065"
"2088.0","391","74905"
"2110.0","297","58048"
"2232.0","187","35812"
"2153.0","360","69730"
"2066.0","312","59011"
"2140.0","297","58001"
"1992.0","281","53705"
"2036.0","328","61816"
