# Experimental Run Tue Nov 13 20:58:19 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"1336.0","281","72945"
"1316.0","250","68197"
"1374.0","266","73670"
"1427.0","203","53427"
"1504.0","78","24079"
"1257.0","375","101666"
"1341.0","297","78768"
"1426.0","156","42438"
"1310.0","297","80690"
"1414.0","219","60545"
"1303.0","328","90903"
"1319.0","375","101376"
"1327.0","234","64113"
"1496.0","141","34787"
"1340.0","375","104670"
"1519.0","125","33588"
"1362.0","312","84027"
"1429.0","157","41672"
"1327.0","343","91153"
"1432.0","188","54373"
"1291.0","390","106699"
"1414.0","172","45500"
"1367.0","282","77199"
"1280.0","437","118939"
"1512.0","109","29705"
"1366.0","375","100385"
"1338.0","219","61135"
"1426.0","156","41088"
"1351.0","282","74409"
"1379.0","156","43486"
"1532.0","125","33260"
"1411.0","187","50601"
"1520.0","141","37593"
"1340.0","391","106188"
"1450.0","187","53060"
"1309.0","313","82483"
"1345.0","312","85316"
"1401.0","172","49380"
"1514.0","109","28415"
"1411.0","203","56473"
"1472.0","110","29690"
"1324.0","265","70495"
"1342.0","282","77792"
"1435.0","187","50867"
"1386.0","250","65396"
"1317.0","281","80481"
"1436.0","219","57756"
"1298.0","281","79678"
"1489.0","157","39128"
"1272.0","390","110266"
"1374.0","235","60822"
"1354.0","296","83516"
"1338.0","235","59814"
"1607.0","78","24082"
"1358.0","281","72034"
"1440.0","141","39893"
"1337.0","281","76359"
"1466.0","172","46333"
"1340.0","234","66410"
"1343.0","282","74596"
"1450.0","171","46019"
"1311.0","266","73827"
"1282.0","297","77403"
"1396.0","172","48558"
"1411.0","187","50665"
"1280.0","469","128637"
"1418.0","203","54423"
"1405.0","250","67689"
"1387.0","203","56249"
"1341.0","235","63350"
"1374.0","203","54054"
"1291.0","328","87577"
"1342.0","234","66369"
"1422.0","172","43982"
"1349.0","219","61561"
"1372.0","281","76902"
"1401.0","234","62327"
"1322.0","282","78433"
"1308.0","406","106753"
"1266.0","406","111343"
"1441.0","125","35562"
"1385.0","250","65134"
"1387.0","188","49580"
"1375.0","234","66155"
"1344.0","250","68246"
"1430.0","172","46013"
"1438.0","156","40906"
"1360.0","266","74823"
"1360.0","281","74822"
"1388.0","250","66436"
"1223.0","516","138576"
"1466.0","140","39210"
"1342.0","281","74063"
"1439.0","141","39631"
"1421.0","172","46778"
"1194.0","422","114857"
"1384.0","281","72784"
"1239.0","609","169966"
"1300.0","453","120214"
"1451.0","250","67767"
"1364.0","204","55955"
"1333.0","343","91929"
"1402.0","266","73547"
"1325.0","297","77912"
"1364.0","234","66664"
"1372.0","234","61561"
"1523.0","110","32752"
"1265.0","344","93465"
"1350.0","296","78252"
"1518.0","125","36831"
"1311.0","282","74827"
"1392.0","265","70999"
"1350.0","282","76608"
"1388.0","265","70022"
"1292.0","328","89106"
"1300.0","313","88849"
"1457.0","203","54680"
"1299.0","437","116704"
"1304.0","344","94483"
"1455.0","203","52402"
"1353.0","250","71518"
"1554.0","110","28921"
"1399.0","156","41418"
"1426.0","187","50598"
"1359.0","282","77420"
"1428.0","203","55962"
"1378.0","187","47066"
"1359.0","219","62593"
"1443.0","203","54932"
"1327.0","281","75078"
"1474.0","188","47301"
"1308.0","297","80714"
"1480.0","156","44116"
"1310.0","297","80942"
"1456.0","172","45311"
"1391.0","203","57484"
"1422.0","250","67441"
"1380.0","187","49261"
"1401.0","266","73363"
"1329.0","375","101600"
"1410.0","172","49598"
"1384.0","234","62326"
"1321.0","328","86558"
"1479.0","172","48898"
"1537.0","125","34276"
"1395.0","219","58509"
"1234.0","500","136338"
"1479.0","156","42694"
"1265.0","391","105169"
"1403.0","296","80184"
"1334.0","250","67516"
"1417.0","219","60034"
"1389.0","219","59776"
"1287.0","406","112674"
"1397.0","219","58024"
"1393.0","281","75082"
"1388.0","203","54700"
"1385.0","172","49846"
"1346.0","219","56469"
"1435.0","219","59885"
"1388.0","187","50357"
"1520.0","110","29979"
"1407.0","250","65938"
"1273.0","250","67428"
"1540.0","109","30212"
"1408.0","187","49080"
"1396.0","188","52462"
"1414.0","234","62328"
"1288.0","406","110029"
"1390.0","219","61568"
"1480.0","156","41419"
"1382.0","219","54961"
"1346.0","266","74572"
"1486.0","156","42464"
