# Experimental Run Tue Nov 13 23:29:19 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"1902.0","281","82737"
"1822.0","219","62901"
"1843.0","343","98718"
"1795.0","282","83001"
"1684.0","422","123299"
"1744.0","218","62326"
"1686.0","313","92955"
"1969.0","109","32156"
"1510.0","531","152612"
"1737.0","188","57251"
"1709.0","297","88339"
"1699.0","343","95831"
"1763.0","250","72783"
"1835.0","297","88854"
"1715.0","313","93983"
"1776.0","234","67940"
"1887.0","172","47078"
"1606.0","344","102166"
"1799.0","187","52401"
"1753.0","250","75596"
"1861.0","219","62213"
"1652.0","266","78429"
"1741.0","265","75843"
"1904.0","172","53285"
"1689.0","360","106305"
"1901.0","218","61232"
"1651.0","328","93693"
"1708.0","250","71508"
"1809.0","235","69998"
"1759.0","281","82991"
"1685.0","422","120738"
"1572.0","281","84513"
"1833.0","250","72299"
"1709.0","359","104155"
"1696.0","407","115382"
"1879.0","172","51131"
"1761.0","312","94204"
"1672.0","297","87832"
"1812.0","234","68791"
"1774.0","219","60803"
"1846.0","172","52428"
"1706.0","359","106918"
"1770.0","250","70395"
"1917.0","156","45521"
"1743.0","282","83752"
"1790.0","234","68587"
"1594.0","438","129656"
"1770.0","265","77394"
"1843.0","203","60086"
"1614.0","500","143594"
"1786.0","172","49583"
"1891.0","125","37364"
"1801.0","281","77891"
"1860.0","203","62138"
"1758.0","282","81733"
"1777.0","359","105221"
"1735.0","250","71000"
"1723.0","313","92682"
"1911.0","234","66188"
"1605.0","437","128169"
"1684.0","375","109756"
"1847.0","219","60948"
"1773.0","391","116946"
"1583.0","359","105445"
"1804.0","281","84062"
"1762.0","344","98803"
"1591.0","422","123275"
"1696.0","297","88850"
"1874.0","172","50596"
"1715.0","343","97791"
"1563.0","469","138463"
"1824.0","203","60870"
"1950.0","125","33772"
"1582.0","360","108489"
"1946.0","156","41933"
"1900.0","141","41673"
"1847.0","234","66926"
"2026.0","109","34791"
"1519.0","578","168410"
"1975.0","125","37848"
"1746.0","391","114868"
"1813.0","234","66744"
"1577.0","438","127136"
"1634.0","578","166687"
"1707.0","344","102768"
"1749.0","218","66406"
"1851.0","250","72211"
"1848.0","204","58508"
"1978.0","109","32494"
"1670.0","390","117118"
"1699.0","282","80697"
"1872.0","187","53918"
"1670.0","360","106712"
"1854.0","187","52078"
"1741.0","344","101680"
"1703.0","437","128907"
"1729.0","313","89872"
"1710.0","359","103636"
"1806.0","250","74344"
"1949.0","141","43733"
"1804.0","265","75382"
"1985.0","110","30714"
"1933.0","156","44441"
"1728.0","437","128395"
"1708.0","250","75842"
"1665.0","391","114683"
"1697.0","328","96610"
"1793.0","250","71764"
"1792.0","250","75845"
"1921.0","188","50620"
"1910.0","187","57747"
"1630.0","422","119957"
"1604.0","531","157446"
"1650.0","282","83762"
"1870.0","249","71631"
"1898.0","125","37384"
"1914.0","172","52893"
"1805.0","297","84775"
"1683.0","328","97078"
"1483.0","594","174322"
"1749.0","422","125326"
"1785.0","297","86564"
"1672.0","344","102158"
"1610.0","421","123067"
"1891.0","157","44988"
"1744.0","281","82242"
"1761.0","265","76720"
"1731.0","297","88598"
"1843.0","157","42946"
"1817.0","203","62873"
"1574.0","437","124563"
