# Experimental Run Sat Nov 17 15:41:16 CET 2018;
Best Score,Run Time Milliseconds,Total Evaluations;
8343.0,31,25359;
7679.0,32,22433;
7246.0,15,21819;
7002.0,31,29623;
7051.0,63,34788;
7356.0,31,21934;
8316.0,15,21942;
7083.0,47,32768;
7126.0,32,33922;
7154.0,31,22368;
7273.0,47,32825;
7024.0,31,27305;
7492.0,31,27292;
7433.0,31,25136;
7403.0,32,28307;
7055.0,31,26533;
7315.0,31,25373;
7340.0,31,28510;
8314.0,32,26035;
7693.0,31,22320;
7000.0,31,29636;
7329.0,47,27152;
7155.0,47,24738;
7485.0,15,23108;
7455.0,47,38135;
8267.0,47,30317;
7408.0,16,19742;
7059.0,31,27147;
7024.0,31,27206;
7262.0,32,26375;
7073.0,31,27431;
7059.0,47,33277;
7398.0,47,25645;
7145.0,31,22838;
7368.0,32,29452;
8211.0,47,25313;
7089.0,15,19253;
8413.0,31,30144;
8046.0,47,31591;
7174.0,16,21553;
7213.0,31,26310;
7016.0,47,30292;
6980.0,31,25190;
6993.0,47,44073;
7173.0,31,29182;
7304.0,47,23472;
7016.0,47,26893;
7172.0,16,24604;
7205.0,31,23596;
7309.0,31,29433;
7170.0,16,22816;
7265.0,31,22305;
7254.0,31,24922;
7352.0,31,31326;
6993.0,47,21864;
7173.0,47,28838;
7155.0,16,23379;
7036.0,47,27727;
7584.0,31,25319;
7173.0,31,29490;
7047.0,31,24387;
7047.0,32,28522;
7259.0,31,26122;
7114.0,15,23236;
7445.0,47,27022;
7016.0,16,23584;
7147.0,47,26473;
7364.0,31,27421;
7131.0,16,19804;
7182.0,15,17235;
7099.0,47,28531;
7271.0,31,24652;
7335.0,31,22041;
7070.0,32,23133;
6901.0,31,28475;
6988.0,31,23714;
7028.0,16,22308;
7083.0,31,27306;
7298.0,31,28599;
7394.0,15,24141;
7312.0,32,22559;
6975.0,47,30575;
7313.0,31,26988;
7126.0,31,27180;
7059.0,31,27968;
7385.0,32,23852;
7125.0,31,27205;
7360.0,31,26155;
8445.0,31,23890;
8043.0,32,29722;
7555.0,31,24349;
8398.0,31,25265;
7126.0,31,23337;
7280.0,16,19124;
7011.0,31,23907;
7290.0,31,30041;
6988.0,79,35590;
7260.0,31,28446;
7449.0,31,24133;
7297.0,47,36704;
6975.0,31,30710;
7705.0,31,23600;
7016.0,32,26502;
7083.0,31,27229;
7188.0,31,25155;
7310.0,31,27984;
7277.0,32,22580;
7423.0,15,21827;
7417.0,32,26195;
7365.0,31,28702;
7811.0,31,26883;
6971.0,47,29944;
7265.0,47,21283;
7256.0,31,27163;
7135.0,63,26125;
7492.0,31,21549;
7275.0,31,29979;
7271.0,31,25402;
7292.0,47,35045;
7127.0,31,25619;
7118.0,32,28880;
7285.0,31,23876;
7205.0,31,28082;
7321.0,47,38635;
8158.0,31,20252;
7000.0,32,32022;
7028.0,31,24757;
7034.0,31,22634;
7099.0,31,26974;
6980.0,32,28864;
7407.0,31,26626;
6901.0,31,26161;
7083.0,31,24204;
7237.0,32,27092;
7308.0,31,25530;
7028.0,31,32315;
7043.0,15,26547;
7262.0,31,27671;
7134.0,31,26716;
8960.0,16,22065;
7353.0,31,28062;
8139.0,16,25877;
7456.0,46,32660;
7268.0,32,23990;
7002.0,31,23712;
7059.0,31,26224;
7264.0,16,24551;
8417.0,31,23568;
6971.0,31,28479;
8483.0,31,21884;
7265.0,32,27982;
7402.0,62,28165;
6975.0,47,36151;
7309.0,31,26247;
7160.0,32,25234;
7047.0,31,25398;
7335.0,31,24094;
7051.0,31,25561;
6980.0,32,32598;
7036.0,31,25026;
7247.0,31,24809;
7078.0,47,34790;
7297.0,31,24128;
7059.0,31,28269;
8283.0,16,18982;
7232.0,31,23861;
6979.0,32,28693;
8420.0,31,21490;
7157.0,31,31498;
7168.0,31,23095;
6901.0,47,32894;
7002.0,31,33280;
7390.0,32,23890;
7000.0,31,32706;
7329.0,31,20545;
7571.0,31,21332;
7456.0,32,25617;
7138.0,31,30573;
7116.0,31,28963;
7034.0,47,30062;
7429.0,16,24680;
7281.0,47,37922;
7496.0,31,27596;
6980.0,31,25627;
7161.0,47,32042;
7099.0,47,22574;
7098.0,31,27761;
7265.0,31,25923;
8422.0,32,18223;
7179.0,15,21886;
7016.0,31,25696;
7251.0,47,27402;
6988.0,32,33643;
7173.0,46,35100;
7357.0,32,23611;
7078.0,31,31273;
7087.0,31,28742;
7269.0,31,28803;
7200.0,47,31377;
6988.0,32,28005;
7247.0,31,32859;
7205.0,47,28167;
7436.0,31,32756;
7008.0,47,28020;
7264.0,31,20475;
7135.0,31,26811;
