# Experimental Run Tue Nov 13 20:38:12 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"31149.0","285","44987"
"30158.0","501","78962"
"31044.0","232","36956"
"30707.0","401","63364"
"31993.0","232","38613"
"30468.0","470","73553"
"30691.0","316","50089"
"31621.0","317","52130"
"31230.0","238","36843"
"32056.0","163","26882"
"30567.0","254","40398"
"30312.0","417","68236"
"30003.0","417","64886"
"29391.0","555","90890"
"32093.0","178","26628"
"30954.0","285","45507"
"31668.0","301","48566"
"31619.0","354","55503"
"32664.0","147","22038"
"31926.0","301","47568"
"31466.0","301","48098"
"32826.0","201","30214"
"31734.0","278","42949"
"32566.0","203","33774"
"32067.0","266","43210"
"31626.0","391","60323"
"31207.0","250","40213"
"30092.0","453","72025"
"31022.0","234","37340"
"31331.0","328","51444"
"33060.0","141","22550"
"30909.0","343","54436"
"31019.0","266","44254"
"30650.0","359","55705"
"31928.0","297","45752"
"31332.0","375","61572"
"33717.0","110","16685"
"32738.0","140","22294"
"30168.0","485","76140"
"31015.0","297","47286"
"31527.0","312","47800"
"32075.0","203","33267"
"31452.0","297","46779"
"30741.0","297","48228"
"30740.0","422","66937"
"32634.0","203","31520"
"31034.0","250","39167"
"30647.0","359","59020"
"30633.0","500","79158"
"30655.0","266","41933"
"31970.0","281","42720"
"31624.0","203","31983"
"31185.0","281","43973"
"32145.0","235","36322"
"31223.0","265","42183"
"31647.0","328","51693"
"32510.0","172","27938"
"31278.0","328","53155"
"31853.0","266","40653"
"32801.0","141","23079"
"32267.0","203","33264"
"30690.0","281","44994"
"31742.0","234","36829"
"32081.0","282","45253"
"30830.0","406","64934"
"31109.0","437","70767"
"31132.0","219","32496"
"31368.0","328","52895"
"32185.0","219","34531"
"31281.0","297","48564"
"30409.0","375","60034"
"31414.0","375","56469"
"31233.0","390","63348"
"30943.0","375","58247"
"34063.0","125","20579"
"31996.0","266","43982"
"32132.0","141","22292"
"30942.0","203","30204"
"31249.0","406","64119"
"30960.0","344","56211"
"31855.0","187","29943"
"31037.0","328","52485"
"31990.0","219","34804"
"32701.0","156","23572"
"31644.0","266","42528"
"31022.0","484","77693"
"31410.0","266","40919"
"31446.0","234","37097"
"32036.0","282","44328"
"31106.0","218","33768"
"31488.0","328","51655"
"29989.0","500","79687"
"30705.0","375","57992"
"31391.0","235","37082"
"29608.0","359","57261"
"32032.0","156","24844"
"32458.0","219","34022"
"31699.0","266","42237"
"32670.0","140","24078"
"31826.0","282","43599"
"32133.0","281","44486"
"30441.0","297","46774"
"32483.0","203","33520"
"30429.0","203","32749"
"31555.0","281","43715"
"31857.0","266","42183"
"32233.0","218","34360"
"32538.0","235","38106"
"31278.0","312","49603"
"31453.0","250","40184"
"31196.0","344","53661"
"31738.0","250","39631"
"31129.0","359","58567"
"30955.0","313","50343"
"31401.0","344","55465"
"30235.0","375","59521"
