# Experimental Run Tue Nov 13 20:54:05 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"649.0","359","127158"
"616.0","313","120321"
"647.0","422","154163"
"633.0","312","116141"
"824.0","78","28165"
"706.0","235","85795"
"726.0","203","74823"
"592.0","328","123563"
"671.0","297","115366"
"748.0","172","57620"
"595.0","422","161295"
"747.0","234","87092"
"705.0","172","64236"
"651.0","250","94661"
"587.0","469","175819"
"756.0","140","50815"
"673.0","250","92165"
"677.0","297","110059"
"663.0","266","97279"
"599.0","359","134798"
"631.0","406","147254"
"644.0","328","123829"
"720.0","172","67948"
"596.0","453","162316"
"695.0","235","86556"
"609.0","375","144437"
"574.0","500","183600"
"670.0","250","93693"
"676.0","312","118710"
"698.0","266","95300"
"617.0","359","135060"
"598.0","391","144501"
"616.0","312","120473"
"768.0","141","49832"
"693.0","141","56227"
"597.0","421","155917"
"666.0","297","108435"
"663.0","281","105442"
"588.0","391","145735"
"711.0","172","63865"
"611.0","250","92163"
"646.0","266","99330"
"647.0","359","134325"
"654.0","359","131298"
"659.0","313","114889"
"662.0","312","118690"
"665.0","391","141669"
"772.0","109","44989"
"601.0","500","182644"
"618.0","250","92428"
"686.0","344","125957"
"606.0","406","151752"
"676.0","235","83773"
"652.0","281","106594"
"609.0","328","124935"
"568.0","500","184545"
"598.0","406","152596"
"620.0","328","119701"
"614.0","360","136536"
"712.0","234","85375"
"552.0","422","158823"
"668.0","375","139604"
"762.0","156","54195"
"657.0","313","116134"
"740.0","187","69469"
"616.0","281","103133"
"580.0","422","163760"
"768.0","203","71295"
"641.0","313","118963"
"633.0","359","137872"
"670.0","234","83502"
"594.0","407","151835"
"771.0","140","51642"
"651.0","266","100388"
"692.0","344","124298"
"680.0","281","104581"
"603.0","391","146068"
"690.0","250","95143"
"683.0","250","95676"
"584.0","406","150573"
"689.0","219","77124"
"579.0","578","216758"
"593.0","468","172743"
"581.0","532","201063"
"640.0","359","134639"
"690.0","344","132198"
"692.0","281","101358"
"637.0","312","117442"
"672.0","282","105841"
"647.0","297","108739"
"601.0","421","158514"
"577.0","391","144947"
"634.0","375","141414"
"730.0","172","66156"
"598.0","406","150612"
"629.0","328","122764"
"614.0","313","115582"
"704.0","156","58662"
"690.0","203","79553"
"662.0","313","112069"
"583.0","484","182687"
"641.0","281","104025"
"680.0","313","119622"
"788.0","171","62837"
"575.0","500","188643"
"686.0","250","88098"
"736.0","204","80525"
"633.0","343","129434"
"643.0","344","130924"
"723.0","265","98076"
"630.0","391","145099"
"658.0","297","115113"
"639.0","375","138614"
"655.0","406","148388"
"635.0","312","116865"
"663.0","282","105987"
"601.0","672","250048"
"691.0","265","101098"
"621.0","344","132453"
"726.0","172","63428"
"664.0","344","121389"
"574.0","375","143482"
"684.0","203","75340"
"602.0","359","136819"
"665.0","313","113338"
"624.0","281","106450"
"698.0","140","50937"
"571.0","407","151863"
"693.0","296","110557"
"668.0","329","124328"
"669.0","359","131764"
"630.0","344","129396"
"613.0","297","112388"
"647.0","218","79667"
"557.0","500","184762"
"654.0","282","104431"
"679.0","218","81999"
"667.0","250","90667"
"571.0","500","183771"
"699.0","313","118773"
"577.0","359","133540"
"641.0","375","141989"
"649.0","375","134681"
"564.0","484","182712"
"737.0","172","65962"
"676.0","375","139150"
"669.0","235","87861"
"659.0","312","117553"
"693.0","219","78905"
