# Experimental Run Tue Nov 13 21:08:31 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"93177.0","328","63403"
"94601.0","250","47288"
"92949.0","265","53666"
"101734.0","141","27395"
"91099.0","406","77116"
"89952.0","328","64112"
"92532.0","266","52900"
"91223.0","453","86079"
"95154.0","266","54455"
"96696.0","265","50502"
"92830.0","313","61904"
"90565.0","375","73038"
"94823.0","218","41928"
"92122.0","407","80176"
"96068.0","172","30966"
"94134.0","328","65829"
"101841.0","187","33809"
"95901.0","344","69739"
"90434.0","437","84767"
"94352.0","391","72295"
"85368.0","422","81719"
"93845.0","312","55951"
"104452.0","110","20575"
"93614.0","328","60602"
"89928.0","453","88670"
"93376.0","266","51384"
"105109.0","156","29178"
"96210.0","265","50901"
"98666.0","250","51365"
"97172.0","282","52667"
"98029.0","265","51490"
"98680.0","235","48301"
"95380.0","328","63241"
"93906.0","297","55475"
"97456.0","218","42440"
"99034.0","141","27663"
"93212.0","281","54945"
"89035.0","406","76650"
"97493.0","329","64046"
"88205.0","578","113072"
"91006.0","422","84311"
"95987.0","250","48815"
"95086.0","203","37337"
"96845.0","203","40404"
"90975.0","375","71005"
"99079.0","281","55093"
"91634.0","375","72813"
"96737.0","172","34534"
"96155.0","234","43715"
"93811.0","297","57997"
"96897.0","250","46279"
"87655.0","422","83508"
"92522.0","281","53672"
"98545.0","219","41682"
"92128.0","328","64879"
"99138.0","219","41932"
"92306.0","375","71583"
"101375.0","203","41426"
"87175.0","515","99559"
"92038.0","438","87576"
"87529.0","484","93451"
"103036.0","172","31223"
"96042.0","203","40143"
"92720.0","360","67987"
"90007.0","531","101419"
"94884.0","266","53660"
"100448.0","171","33004"
"93097.0","360","69470"
"98111.0","281","54679"
"96481.0","219","43414"
"93544.0","234","43977"
"92259.0","453","87863"
"103001.0","141","28428"
"97320.0","344","66445"
"98154.0","218","42182"
"91571.0","313","61151"
"93641.0","250","49838"
"89089.0","500","94201"
"89102.0","640","126847"
"95099.0","219","41417"
"88848.0","391","74315"
"91475.0","312","62084"
"99394.0","188","34022"
"96076.0","234","44992"
"94561.0","219","43510"
"94978.0","375","71788"
"94039.0","297","59280"
"98766.0","218","40916"
"99413.0","204","38136"
"94878.0","312","62326"
"86218.0","547","106444"
"90813.0","469","91399"
"100445.0","187","36614"
"93359.0","438","83295"
"86493.0","578","113836"
"95580.0","281","56769"
"91899.0","328","61310"
"94103.0","297","56729"
"90064.0","312","62350"
"93145.0","329","60797"
"89937.0","437","86061"
"90665.0","297","58252"
"94907.0","234","46516"
"94483.0","344","67312"
"97904.0","203","39557"
"100208.0","156","27650"
"95467.0","297","60393"
"91524.0","297","56748"
"94170.0","313","62605"
"92854.0","296","55718"
"94733.0","235","46703"
"92173.0","312","62072"
"95404.0","328","65698"
"92332.0","484","93436"
"92787.0","282","54436"
"91085.0","265","50418"
"99302.0","235","45498"
"91346.0","406","77883"
"90671.0","406","81609"
"88387.0","688","133981"
"98440.0","203","39123"
"92085.0","437","83756"
"99178.0","188","38362"
"95278.0","234","44741"
"96128.0","313","61058"
"96850.0","265","50599"
"98096.0","156","32601"
"94651.0","313","61470"
"90227.0","422","78930"
"86265.0","578","112052"
"95180.0","453","89360"
"94106.0","375","73554"
"87961.0","484","95989"
"91152.0","407","77774"
"100079.0","140","26884"
"97697.0","266","52129"
"93530.0","343","68195"
"88940.0","313","61308"
"97259.0","266","49877"
"99544.0","156","31731"
"102579.0","140","26839"
"96436.0","266","49868"
"95889.0","203","40404"
"89587.0","547","108337"
