# Experimental Run Tue Nov 13 20:33:07 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"9953.0","563","199773"
"11122.0","296","108483"
"10789.0","344","126603"
"9787.0","469","170492"
"10989.0","328","121085"
"11011.0","250","92696"
"9369.0","594","217255"
"11390.0","281","97728"
"11593.0","500","181496"
"10099.0","359","132310"
"11192.0","438","161787"
"10370.0","515","190127"
"12034.0","266","95989"
"11352.0","344","122607"
"10162.0","547","199303"
"10823.0","281","101855"
"10461.0","375","141142"
"9631.0","547","194173"
"10489.0","422","156983"
"10507.0","328","119009"
"10826.0","593","217950"
"11481.0","266","100068"
"11906.0","203","72457"
"11417.0","391","143477"
"10304.0","328","122524"
"10761.0","469","169619"
"10241.0","437","162182"
"10791.0","484","178862"
"11221.0","344","126085"
"11004.0","281","98487"
"11117.0","360","130946"
"10601.0","297","109038"
"11358.0","390","144097"
"11735.0","250","90632"
"10992.0","438","160383"
"11672.0","297","106188"
"11927.0","234","84528"
"11296.0","469","175697"
"11261.0","203","76639"
"10665.0","484","177588"
"11936.0","219","78165"
"12316.0","172","65132"
"11132.0","359","130671"
"10915.0","360","128948"
"11737.0","328","124451"
"11771.0","328","118725"
"10753.0","406","148036"
"10929.0","297","109953"
"11365.0","281","103902"
"12128.0","359","126602"
"11448.0","297","110051"
"12092.0","250","92233"
"10603.0","407","148836"
"9990.0","531","190924"
"11082.0","265","100873"
"11281.0","297","105971"
"10646.0","407","151334"
"11130.0","484","172275"
"10518.0","469","168559"
"13162.0","140","53457"
"11837.0","297","107536"
"11586.0","375","140122"
"12015.0","297","106003"
"12548.0","156","55998"
"10860.0","406","148284"
"11270.0","297","111403"
"10679.0","360","130923"
"11239.0","281","102874"
"10265.0","406","146229"
"12276.0","297","113273"
"10972.0","375","136827"
"11024.0","344","123125"
"12753.0","203","75090"
"11602.0","250","93439"
"11808.0","219","75373"
"10719.0","453","166279"
"10786.0","390","141155"
"10776.0","375","139647"
"10725.0","360","129917"
"9845.0","578","211041"
"11241.0","312","113848"
"10593.0","406","151837"
"11552.0","360","130543"
"11172.0","344","123172"
"10823.0","500","185665"
"10135.0","625","225691"
"9941.0","500","183769"
"10489.0","406","148306"
"10907.0","390","145269"
"12253.0","297","105209"
"10304.0","438","164378"
"11446.0","234","85038"
"10464.0","406","147390"
"10937.0","469","165961"
"11228.0","297","113991"
"10786.0","406","147875"
"11151.0","297","109873"
"10516.0","531","195485"
"11015.0","250","94475"
"12551.0","156","56015"
"11414.0","422","152596"
"10006.0","375","135633"
"11585.0","282","101368"
"10818.0","437","158132"
"11049.0","375","138935"
"11451.0","391","141137"
"10880.0","297","105233"
"10655.0","328","119192"
"10521.0","515","191926"
"11149.0","391","136864"
"12361.0","328","120861"
"11088.0","344","122550"
"12434.0","140","51919"
"11043.0","328","124073"
"10971.0","485","176313"
"10803.0","500","181429"
"11248.0","344","129141"
"10007.0","515","188239"
"11998.0","203","71255"
"11437.0","266","98819"
"10103.0","453","166624"
"11864.0","266","94132"
"9617.0","406","151866"
"11172.0","234","86585"
"10941.0","344","122802"
"10085.0","312","116670"
"10541.0","407","144457"
"11442.0","250","94473"
"10722.0","390","143047"
"11368.0","360","131440"
"10584.0","453","162397"
"10423.0","515","189322"
"12046.0","250","93181"
"11182.0","297","104156"
"10907.0","391","149043"
"11609.0","297","103062"
"10068.0","484","180424"
"11167.0","391","145600"
"10898.0","265","96773"
"11117.0","485","175802"
"10804.0","515","190358"
"11148.0","328","123019"
"10153.0","688","253475"
"10405.0","562","202074"
"11729.0","266","96173"
"11304.0","437","163613"
"11397.0","438","158259"
"10459.0","375","140283"
"10855.0","297","108252"
"10294.0","468","169939"
"11531.0","391","146488"
"10889.0","375","136038"
"11549.0","281","103689"
"11048.0","469","171079"
"11265.0","344","123145"
"11387.0","422","156734"
"10634.0","312","109519"
"10239.0","469","172547"
"12092.0","297","107024"
"10254.0","562","210294"
"10056.0","235","85802"
"12516.0","343","122847"
"11048.0","297","109013"
"10975.0","313","114970"
"11449.0","234","86568"
"10025.0","453","166265"
"10380.0","516","186362"
"10931.0","281","102889"
"11090.0","344","126085"
"10461.0","406","150935"
"10979.0","375","136648"
"12099.0","250","91915"
"11732.0","344","123018"
"11438.0","312","116654"
"11745.0","281","101862"
"10888.0","391","143867"
"10612.0","406","151155"
"11771.0","312","116429"
"11471.0","328","120232"
"10698.0","407","151322"
"11055.0","312","117957"
"11792.0","297","107211"
"11791.0","281","97411"
"11404.0","235","85026"
"10440.0","609","227458"
"10003.0","391","146258"
"11396.0","234","81759"
"11076.0","406","152880"
"10989.0","297","106713"
"10702.0","375","141388"
"11416.0","563","205962"
"10703.0","343","120224"
"11347.0","250","92420"
"13525.0","125","47173"
"11433.0","282","102388"
"10228.0","406","152687"
"11782.0","281","102419"
"11138.0","438","157980"
"11000.0","359","129435"
"12129.0","437","165302"
"10462.0","547","196368"
"12241.0","203","74901"
"12792.0","297","112362"
"13098.0","297","109015"
"11440.0","375","135096"
"11785.0","313","114775"
"12057.0","468","173185"
"11520.0","235","84354"
"11273.0","281","108029"
"9536.0","484","174570"
"11147.0","219","81016"
"11158.0","219","82474"
"11305.0","250","90890"
"9736.0","437","158732"
"10832.0","453","168586"
"10813.0","750","272913"
"10614.0","422","151104"
"11078.0","313","118057"
"9896.0","375","138580"
"11980.0","281","98146"
"12238.0","328","122794"
"10526.0","344","125060"
"10011.0","390","145969"
"11064.0","282","100580"
"10800.0","375","141657"
"11577.0","234","87095"
"10808.0","359","127429"
"12322.0","188","68726"
"10601.0","359","133027"
"11305.0","438","157716"
"10605.0","390","143226"
"12035.0","250","91102"
"10850.0","344","125535"
"10344.0","375","138404"
"10576.0","516","189593"
"12110.0","187","66166"
"11047.0","438","165350"
"11107.0","375","135545"
"10512.0","421","155188"
"11584.0","485","175803"
"11224.0","312","113332"
"12076.0","485","176360"
"10926.0","281","102448"
"11090.0","484","178044"
"12589.0","125","48050"
"11657.0","328","119009"
"11224.0","219","76097"
"9969.0","484","178399"
"12594.0","219","79366"
"10566.0","594","219677"
"11539.0","328","119556"
"10700.0","328","120109"
"12326.0","156","56000"
"10832.0","422","158998"
"12277.0","203","74640"
"12143.0","250","89131"
"10020.0","375","137114"
"11222.0","282","107095"
"10543.0","421","152902"
"11104.0","454","166366"
"10528.0","593","215885"
"11608.0","235","86665"
"11869.0","281","101905"
"10494.0","312","112944"
"13067.0","110","39903"
"11509.0","297","109016"
"10937.0","531","195843"
"10367.0","515","188575"
"11248.0","407","148782"
"10460.0","359","133486"
"10272.0","516","191637"
"11228.0","343","125075"
"11598.0","469","166454"
"11496.0","297","112679"
"11017.0","234","85542"
"11308.0","391","144702"
"11876.0","437","157920"
"11073.0","297","111825"
"11994.0","266","97299"
"10211.0","437","160510"
"11826.0","407","150909"
"10140.0","562","202362"
"10426.0","438","161443"
"9743.0","406","147500"
"10721.0","484","175854"
"11379.0","328","123530"
"10583.0","453","165858"
"11720.0","375","137310"
"11432.0","344","129030"
"11460.0","375","132961"
"10892.0","313","117152"
"12711.0","234","81200"
"11701.0","328","120983"
"11534.0","281","100017"
"11750.0","235","86301"
"11210.0","515","188041"
"10735.0","407","148540"
"11259.0","359","134272"
"10778.0","312","111095"
"13102.0","157","57228"
"10921.0","375","137807"
"10160.0","390","143418"
"11100.0","344","124043"
"11158.0","375","137557"
"11786.0","203","70179"
"12674.0","141","51317"
"11678.0","265","100085"
"11616.0","219","79477"
"10597.0","313","113901"
"12436.0","203","74823"
"11003.0","312","113357"
"10527.0","328","125844"
"12144.0","219","75919"
"11211.0","406","153990"
"11337.0","313","110276"
"10585.0","343","125334"
"11257.0","282","101869"
"11107.0","312","116959"
"11991.0","266","97778"
"11607.0","234","82744"
"10869.0","344","128938"
"11006.0","359","130889"
"10162.0","547","195953"
"10999.0","234","86806"
"10550.0","532","194942"
"12422.0","218","80438"
"10609.0","282","102397"
"11450.0","328","119086"
"10452.0","328","119460"
"11529.0","359","134066"
"11814.0","344","125114"
"11099.0","438","157808"
"10630.0","656","239265"
"12728.0","281","102878"
"10729.0","484","176582"
"9837.0","500","187055"
"11382.0","328","115621"
"10997.0","313","117829"
"11187.0","250","91655"
"10469.0","609","222235"
"11651.0","235","84017"
"10932.0","359","135789"
"10258.0","344","127401"
"9966.0","406","146221"
"14669.0","62","25993"
"10585.0","485","178486"
"11250.0","187","68203"
"11062.0","156","59783"
"11976.0","172","62076"
"10995.0","406","146824"
"11148.0","360","130563"
"12874.0","187","63618"
"11716.0","235","89105"
"12070.0","265","97535"
"10088.0","625","228735"
"10336.0","391","143059"
"11202.0","375","135434"
"13055.0","156","62075"
"11036.0","344","126231"
"11554.0","328","122611"
"10837.0","406","144691"
"10546.0","391","139540"
"11101.0","328","116653"
"9998.0","578","212011"
"10789.0","344","123795"
"11232.0","328","121741"
"12188.0","234","83492"
"10408.0","641","235474"
"11660.0","218","83238"
"11131.0","407","148269"
"12918.0","187","64637"
"10446.0","375","137829"
"12474.0","360","136442"
"10375.0","375","138586"
"11723.0","312","112054"
"11797.0","281","104046"
"10542.0","672","246948"
"10672.0","359","130425"
"10914.0","500","183225"
"11344.0","375","139360"
"10778.0","329","123278"
"10471.0","468","170004"
"11770.0","203","77076"
"10730.0","391","140179"
"10211.0","578","212022"
"10811.0","344","122253"
"12760.0","140","54181"
"11149.0","360","130939"
"10718.0","469","171800"
"11215.0","250","92167"
"12036.0","265","98585"
"12250.0","235","85598"
"10138.0","390","145334"
"11899.0","250","91659"
"12416.0","172","60811"
"10395.0","469","172150"
"10356.0","453","170783"
"11292.0","515","187319"
"11766.0","266","94974"
"11256.0","375","136561"
"11832.0","219","80753"
"11429.0","406","148819"
"11402.0","328","120753"
"10607.0","313","114778"
"10334.0","500","183973"
"11602.0","297","111954"
"11072.0","359","131788"
"11353.0","406","151327"
"10527.0","344","124043"
"10901.0","547","195719"
"11619.0","156","58386"
"10347.0","328","116167"
"11538.0","359","133243"
"10784.0","469","169955"
"10745.0","469","166151"
"13088.0","141","55206"
"10599.0","343","127609"
"9982.0","469","171176"
"11020.0","516","188918"
"10581.0","375","134523"
"10463.0","437","157774"
"11102.0","281","100852"
"12177.0","188","72809"
"10205.0","453","163768"
"10894.0","391","141156"
"11005.0","296","110933"
"10854.0","438","153876"
"10999.0","422","156447"
"11397.0","375","133950"
"12391.0","281","101984"
"10608.0","359","134500"
"11607.0","250","88347"
"11563.0","235","83240"
"11658.0","312","117179"
"11667.0","235","88595"
"11356.0","421","149649"
"10721.0","375","142267"
"10545.0","407","144499"
"10722.0","593","218727"
"10376.0","469","174831"
"10821.0","484","175215"
"11515.0","438","159766"
"10561.0","203","79182"
"11108.0","266","95242"
"11061.0","328","113327"
"10381.0","484","182858"
"9932.0","516","187283"
"11213.0","406","146285"
"9811.0","531","192026"
"12024.0","281","105940"
"12563.0","235","81626"
"11229.0","297","95380"
"11615.0","281","96285"
"12759.0","141","48631"
"11677.0","375","133280"
"11124.0","328","120219"
"11497.0","328","120077"
"12573.0","250","94464"
"10917.0","265","96754"
"10900.0","360","129649"
"10537.0","640","234133"
"11216.0","360","129960"
"11514.0","328","119971"
"11755.0","390","144497"
"10553.0","391","142657"
"11752.0","297","107725"
"11438.0","266","99604"
"11930.0","234","82729"
"13662.0","172","63227"
"10699.0","515","191194"
"10686.0","422","151125"
"11047.0","469","172439"
"11504.0","266","100074"
"11927.0","203","75373"
"10719.0","437","159785"
"11410.0","250","91162"
"11115.0","281","105722"
"11289.0","375","135259"
"11050.0","282","103330"
"10650.0","359","130232"
"13736.0","172","63603"
"11934.0","297","109150"
"11404.0","234","88846"
"10893.0","406","147311"
"10664.0","360","131190"
"11827.0","218","82217"
"10431.0","344","125646"
"10915.0","391","140362"
"11730.0","531","187485"
"10822.0","422","151979"
"11366.0","281","102388"
"10830.0","328","120551"
"12745.0","266","97857"
"9952.0","625","216212"
"11326.0","234","85344"
"12243.0","328","121269"
"11975.0","328","121030"
"11002.0","313","114227"
"11730.0","281","100695"
"9788.0","453","170469"
"11318.0","360","126088"
"12804.0","156","56563"
"12088.0","297","111949"
"10576.0","500","178106"
"10282.0","422","156177"
"10842.0","359","127870"
"11463.0","328","120607"
"11341.0","297","105961"
"12578.0","203","77378"
"11237.0","344","120034"
"11122.0","328","122864"
"11544.0","391","143432"
"11665.0","328","119577"
"10727.0","313","116207"
"11567.0","390","141122"
"12468.0","297","107719"
"11313.0","375","129721"
"11450.0","375","140658"
"10197.0","438","158209"
"11171.0","343","125603"
"11113.0","422","153416"
"10960.0","453","166317"
"11678.0","344","129188"
"10226.0","359","130230"
"9680.0","532","198581"
"10144.0","468","169965"
"12144.0","266","94107"
"10723.0","453","170706"
"12502.0","250","92055"
"12263.0","266","96871"
"11731.0","406","144691"
"11070.0","281","101621"
"11059.0","360","128636"
"12645.0","234","85533"
"11939.0","234","86556"
"11120.0","438","156062"
"12665.0","156","58790"
"12646.0","219","77452"
"10062.0","359","129650"
"10721.0","438","156810"
"11380.0","203","75394"
"11392.0","328","120061"
"9744.0","609","222532"
"10104.0","375","136795"
"11080.0","297","113852"
"12451.0","156","54525"
"10791.0","391","143721"
"10080.0","437","164909"
"12979.0","282","103894"
"12047.0","265","95499"
"11608.0","188","65603"
"12512.0","140","53152"
"11116.0","329","117407"
"11622.0","328","122553"
"11777.0","156","56467"
"12623.0","172","60032"
"10463.0","484","181163"
"10983.0","453","159738"
"10641.0","360","134247"
"11282.0","265","96817"
"10150.0","453","163909"
"11520.0","157","57265"
"10474.0","406","147353"
"11364.0","437","160505"
"10856.0","313","117159"
