# Experimental Run Tue Nov 13 21:13:33 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"102417.0","141","27909"
"91829.0","390","75349"
"92020.0","328","62860"
"89543.0","313","59798"
"94208.0","281","55469"
"91786.0","406","79162"
"85438.0","578","112865"
"85130.0","516","99124"
"92837.0","359","70764"
"95374.0","313","59012"
"94895.0","281","53657"
"90766.0","235","45269"
"88053.0","437","84002"
"94737.0","250","49371"
"91524.0","313","60582"
"92561.0","250","50097"
"95149.0","250","45533"
"95572.0","265","52941"
"94029.0","281","54168"
"95843.0","328","64643"
"95333.0","235","46772"
"92608.0","328","63623"
"94265.0","312","61561"
"99897.0","157","29699"
"93466.0","234","44922"
"93021.0","234","46010"
"91916.0","313","59272"
"98728.0","203","39637"
"95049.0","234","46262"
"102253.0","172","33023"
"90133.0","328","63654"
"90580.0","360","71763"
"94335.0","250","47043"
"95768.0","265","51361"
"89688.0","453","88096"
"87879.0","391","75851"
"95088.0","266","53207"
"90688.0","453","89381"
"96723.0","204","39890"
"91654.0","375","74321"
"93908.0","296","58262"
"93634.0","204","39908"
"90936.0","343","66160"
"99354.0","203","41174"
"93349.0","344","64904"
"97560.0","281","52130"
"92016.0","250","50344"
"93336.0","282","52894"
"100442.0","140","26897"
"91534.0","281","53876"
"97483.0","235","47283"
"95282.0","203","38867"
"93516.0","266","52926"
"94829.0","281","54437"
"87706.0","328","63091"
"87646.0","437","87970"
"95799.0","188","37084"
"95105.0","297","55216"
"94503.0","234","45518"
"87814.0","375","74821"
"89874.0","375","71379"
"90833.0","422","82739"
"92480.0","219","40141"
"94356.0","250","51110"
"88453.0","453","86844"
"95279.0","219","41418"
"100839.0","125","26145"
"91661.0","312","59881"
"99141.0","125","24842"
"93301.0","250","48047"
"95375.0","281","53662"
"90847.0","281","53660"
"84305.0","454","88591"
"88847.0","250","51400"
"94274.0","343","64369"
"95480.0","235","47322"
"92103.0","234","43752"
"94140.0","313","60577"
"92859.0","234","46278"
"92591.0","234","43466"
"100233.0","141","29942"
"88632.0","328","61308"
"100149.0","203","39128"
"91612.0","406","78463"
"100411.0","141","29686"
"92732.0","359","67177"
"90966.0","453","89620"
"95645.0","235","44738"
"91998.0","390","76606"
"89759.0","360","70024"
"97030.0","250","48556"
"86184.0","562","108955"
"95619.0","266","49577"
"93463.0","297","57485"
"91868.0","422","84008"
"89417.0","390","73814"
"88332.0","344","68220"
"98241.0","250","48098"
"91529.0","281","54169"
"88807.0","406","78938"
